Name,Position,Height,Weight,Academic Year,Hometown,Previous School,Year,School,From_US_State,Is_Transfer,Age
Rienk Mast,F,82.0,248.0,Junior,Netherlands,Bradley,2023,Nebraska,False,True,20.0
Riley Mulvey,F,83.0,245.0,Jr.,New York,,2023,Iowa,True,False,20.0
Roddy Gayle Jr.,G,76.0,210.0,So.,New York,Lewiston-Porter,2023,Ohio_State,True,False,19.0
Ross Candelino,G,77.0,195.0,So.,Florida,,2023,Wisconsin,True,False,19.0
Ryan Langborg,G,76.0,195.0,Gr.,California,Princeton,2023,Northwestern,True,True,23.0
Sam Hoiberg,G,72.0,183.0,Sophomore,Nebraska,Pius X,2023,Nebraska,True,False,19.0
Sam King,F,80.0,220.0,So.,Indiana,,2023,Purdue,True,False,19.0
Scotty Middleton,G,79.0,190.0,Fr.,Florida,Sunrise Christian,2023,Ohio_State,True,False,18.0
Sencire Harris,G,76.0,170.0,So.,Ohio,,2023,Illinois,True,False,19.0
Shaan Burke,G,77.0,195.0,Jr.,California,,2023,Indiana,True,False,20.0
Spencer Hutchison,G,76.0,202.0,RS Fr.,Texas,,2023,Iowa,True,False,
Steven Crowl,F,84.0,247.0,Jr.,Minnesota,,2023,Wisconsin,True,False,20.0
Steven Izzo,G,68.0,150.0,Gr.,Michigan,,2023,Michigan_State,True,False,23.0
Taison Chatman,G,76.0,175.0,Fr.,Minnesota,Totino-Grace,2023,Ohio_State,True,False,18.0
Tarris Reed Jr.,F,82.0,265.0,So.,Missouri,,2023,Michigan,True,False,19.0
Terrance Williams II,F,79.0,225.0,Sr.,Maryland,,2023,Michigan,True,False,21.0
Terrence Shannon Jr.,G,78.0,225.0,5th,Illinois,,2023,Illinois,True,True,23.0
Tony Perkins,G,76.0,205.0,Sr.,Indiana,,2023,Iowa,True,False,21.0
Tray Jackson,F,82.0,215.0,Gr.,Michigan,,2023,Michigan,True,True,23.0
Tre Holloman,G,74.0,180.0,So.,Minnesota,,2023,Michigan_State,True,False,19.0
